Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5741743632830717231291518664,0.574174363283072,0.574174363283072,0.574174363283072,0.574174363283072,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,1677308
0.02,0,0.5766659922305376666546508668,0.576665992230538,0.576665992230538,0.576665992230538,0.576665992230538,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,3354616
0.03,0,0.5723370779276883904203367154,0.572337077927688,0.572337077927688,0.572337077927688,0.572337077927688,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,5031924
0.04,0,0.5679186975480958763662217650,0.567918697548096,0.567918697548096,0.567918697548096,0.567918697548096,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,6709232
0.05,0,0.5640259522339640121254987775,0.564025952233964,0.564025952233964,0.564025952233964,0.564025952233964,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,8386540
0.06,0,0.5606535014670769951194873123,0.560653501467077,0.560653501467077,0.560653501467077,0.560653501467077,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,10063850
0.07,0,0.5577165637594647484993061123,0.557716563759465,0.557716563759465,0.557716563759465,0.557716563759465,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,11741160
0.08,0,0.5551340462916434853343935546,0.555134046291643,0.555134046291643,0.555134046291643,0.555134046291643,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,13418460
0.09,0,0.5528403911626889109297102074,0.552840391162689,0.552840391162689,0.552840391162689,0.552840391162689,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,15095770
0.10,0,0.5507845087626214898343853780,0.550784508762622,0.550784508762622,0.550784508762622,0.550784508762622,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,16773080
0.11,0,0.5489266311878287886760732218,0.548926631187829,0.548926631187829,0.548926631187829,0.548926631187829,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,18450390
0.12,0,0.5472355603663023704169217777,0.547235560366302,0.547235560366302,0.547235560366302,0.547235560366302,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,20127700
0.13,0,0.5456865485741653595701775127,0.545686548574165,0.545686548574165,0.545686548574165,0.545686548574165,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,21805000
0.14,0,0.5442596926263283649931913231,0.544259692626328,0.544259692626328,0.544259692626328,0.544259692626328,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,23482310
0.15,0,0.5429388407827166176948651202,0.542938840782717,0.542938840782717,0.542938840782717,0.542938840782717,0,0,0,0,19.2367270417881,231.20676883303473912708883853,231.20676883303473912708883853,25159620
